loggernet_variable,cr1000_name,design_scale_type,design_link,var_norm_split,research_name,logger,type,units,definition,table
Volt_AM2(8),volt_am28,plot,613_20cm_ref2_4,y,mv,redox1,number,,NA,table1
Volt_AM2(9),volt_am29,plot,613_5cm_ref2_5,y,mv,redox1,number,,NA,table1
Volt_AM2(10),volt_am210,plot,613_20cm_ref2_5,y,mv,redox1,number,,NA,table1
Volt_AM2(11),volt_am211,plot,613_5cm_ref2_6,y,mv,redox1,number,,NA,table1
Volt_AM2(12),volt_am212,plot,613_20cm_ref2_6,y,mv,redox1,number,,NA,table1
Volt_AM3(1),volt_am31,plot,313_5cm_ref1_1,y,mv,redox1,number,,NA,table1
Volt_AM3(2),volt_am32,plot,313_20cm_ref1_1,y,mv,redox1,number,,NA,table1
Volt_AM3(3),volt_am33,plot,313_5cm_ref1_2,y,mv,redox1,number,,NA,table1
Volt_AM3(4),volt_am34,plot,313_20cm_ref1_2,y,mv,redox1,number,,NA,table1
Volt_AM3(5),volt_am35,plot,313_5cm_ref1_3,y,mv,redox1,number,,NA,table1
Volt_AM3(6),volt_am36,plot,313_20cm_ref1_3,y,mv,redox1,number,,NA,table1
Volt_AM3(7),volt_am37,plot,313_5cm_ref1_4,y,mv,redox1,number,,NA,table1
Volt_AM3(8),volt_am38,plot,313_20cm_ref1_4,y,mv,redox1,number,,NA,table1
Volt_AM3(9),volt_am39,plot,313_5cm_ref1_5,y,mv,redox1,number,,NA,table1
Volt_AM3(10),volt_am310,plot,313_20cm_ref1_5,y,mv,redox1,number,,NA,table1
Volt_AM3(11),volt_am311,plot,313_5cm_ref1_6,y,mv,redox1,number,,NA,table1
Volt_AM3(12),volt_am312,plot,313_20cm_ref1_6,y,mv,redox1,number,,NA,table1
Volt_AM4(1),volt_am41,plot,313_5cm_ref2_1,y,mv,redox1,number,,NA,table1
Volt_AM4(2),volt_am42,plot,313_20cm_ref2_1,y,mv,redox1,number,,NA,table1
Volt_AM4(3),volt_am43,plot,313_5cm_ref2_2,y,mv,redox1,number,,NA,table1
Volt_AM4(4),volt_am44,plot,313_20cm_ref2_2,y,mv,redox1,number,,NA,table1
Volt_AM4(5),volt_am45,plot,313_5cm_ref2_3,y,mv,redox1,number,,NA,table1
Volt_AM4(6),volt_am46,plot,313_20cm_ref2_3,y,mv,redox1,number,,NA,table1
Volt_AM4(7),volt_am47,plot,313_5cm_ref2_4,y,mv,redox1,number,,NA,table1
Volt_AM4(8),volt_am48,plot,313_20cm_ref2_4,y,mv,redox1,number,,NA,table1
Volt_AM4(9),volt_am49,plot,313_5cm_ref2_5,y,mv,redox1,number,,NA,table1
Volt_AM4(10),volt_am410,plot,313_20cm_ref2_5,y,mv,redox1,number,,NA,table1
Volt_AM4(11),volt_am411,plot,313_5cm_ref2_6,y,mv,redox1,number,,NA,table1
Volt_AM4(12),volt_am412,plot,313_20cm_ref2_6,y,mv,redox1,number,,NA,table1
Logger,logger,site,logger,n,logger,redox1,character,,NA,table1
Program,program,site,logger,n,program,redox1,character,,NA,table1
Table,table,site,logger,n,table,redox1,character,,NA,table1
rowid,rowid,key,logger,key,rowid,redox1,character,,NA,table1
time2,time2,key,logger,key,time2,redox1,number,,NA,table1
TIMESTAMP,timestamp,site,logger,n,timestamp,redox1,number,,NA,tableambient
RECORD,record,site,logger,n,record,redox1,number,,NA,tableambient
Statname,logger,key,logger,key,logger,redox1,character,,NA,tableambient
BattV,battv,site,logger,n,battv,redox1,number,,NA,tableambient
Volt_AM5(1),volt_am51,plot,610_5cm_ref1_1,y,mv,redox1,number,,NA,tableambient
Volt_AM5(2),volt_am52,plot,610_20cm_ref1_1,y,mv,redox1,number,,NA,tableambient
Volt_AM5(3),volt_am53,plot,610_5cm_ref1_2,y,mv,redox1,number,,NA,tableambient
Volt_AM5(4),volt_am54,plot,610_20cm_ref1_2,y,mv,redox1,number,,NA,tableambient
Volt_AM5(5),volt_am55,plot,610_5cm_ref1_3,y,mv,redox1,number,,NA,tableambient
Volt_AM5(6),volt_am56,plot,610_20cm_ref1_3,y,mv,redox1,number,,NA,tableambient
Volt_AM5(7),volt_am57,plot,610_5cm_ref1_4,y,mv,redox1,number,,NA,tableambient
Volt_AM5(8),volt_am58,plot,610_20cm_ref1_4,y,mv,redox1,number,,NA,tableambient
Volt_AM5(9),volt_am59,plot,610_5cm_ref1_5,y,mv,redox1,number,,NA,tableambient
Volt_AM5(10),volt_am510,plot,610_20cm_ref1_5,y,mv,redox1,number,,NA,tableambient
Volt_AM5(11),volt_am511,plot,610_5cm_ref1_6,y,mv,redox1,number,,NA,tableambient
Volt_AM5(12),volt_am512,plot,610_20cm_ref1_6,y,mv,redox1,number,,NA,tableambient
Volt_AM6(1),volt_am61,plot,610_5cm_ref2_1,y,mv,redox1,number,,NA,tableambient
Volt_AM6(2),volt_am62,plot,610_20cm_ref2_1,y,mv,redox1,number,,NA,tableambient
Volt_AM6(3),volt_am63,plot,610_5cm_ref2_2,y,mv,redox1,number,,NA,tableambient
Volt_AM6(4),volt_am64,plot,610_20cm_ref2_2,y,mv,redox1,number,,NA,tableambient
Volt_AM6(5),volt_am65,plot,610_5cm_ref2_3,y,mv,redox1,number,,NA,tableambient
Volt_AM6(6),volt_am66,plot,610_20cm_ref2_3,y,mv,redox1,number,,NA,tableambient
Volt_AM6(7),volt_am67,plot,610_5cm_ref2_4,y,mv,redox1,number,,NA,tableambient
Volt_AM6(8),volt_am68,plot,610_20cm_ref2_4,y,mv,redox1,number,,NA,tableambient
Volt_AM6(9),volt_am69,plot,610_5cm_ref2_5,y,mv,redox1,number,,NA,tableambient
Volt_AM6(10),volt_am610,plot,610_20cm_ref2_5,y,mv,redox1,number,,NA,tableambient
Volt_AM6(11),volt_am611,plot,610_5cm_ref2_6,y,mv,redox1,number,,NA,tableambient
Volt_AM6(12),volt_am612,plot,610_20cm_ref2_6,y,mv,redox1,number,,NA,tableambient
Volt_AM7(1),volt_am71,plot,310_5cm_ref1_1,y,mv,redox1,number,,NA,tableambient
Volt_AM7(2),volt_am72,plot,310_20cm_ref1_1,y,mv,redox1,number,,NA,tableambient
Volt_AM7(3),volt_am73,plot,310_5cm_ref1_2,y,mv,redox1,number,,NA,tableambient
Volt_AM7(4),volt_am74,plot,310_20cm_ref1_2,y,mv,redox1,number,,NA,tableambient
Volt_AM7(5),volt_am75,plot,310_5cm_ref1_3,y,mv,redox1,number,,NA,tableambient
Volt_AM7(6),volt_am76,plot,310_20cm_ref1_3,y,mv,redox1,number,,NA,tableambient
Volt_AM7(7),volt_am77,plot,310_5cm_ref1_4,y,mv,redox1,number,,NA,tableambient
Volt_AM7(8),volt_am78,plot,310_20cm_ref1_4,y,mv,redox1,number,,NA,tableambient
Volt_AM7(9),volt_am79,plot,310_5cm_ref1_5,y,mv,redox1,number,,NA,tableambient
Volt_AM7(10),volt_am710,plot,310_20cm_ref1_5,y,mv,redox1,number,,NA,tableambient
Volt_AM7(11),volt_am711,plot,310_5cm_ref1_6,y,mv,redox1,number,,NA,tableambient
Volt_AM7(12),volt_am712,plot,310_20cm_ref1_6,y,mv,redox1,number,,NA,tableambient
Volt_AM8(1),volt_am81,plot,310_5cm_ref2_1,y,mv,redox1,number,,NA,tableambient
Volt_AM8(2),volt_am82,plot,310_20cm_ref2_1,y,mv,redox1,number,,NA,tableambient
Volt_AM8(3),volt_am83,plot,310_5cm_ref2_2,y,mv,redox1,number,,NA,tableambient
Volt_AM8(4),volt_am84,plot,310_20cm_ref2_2,y,mv,redox1,number,,NA,tableambient
Volt_AM8(5),volt_am85,plot,310_5cm_ref2_3,y,mv,redox1,number,,NA,tableambient
Volt_AM8(6),volt_am86,plot,310_20cm_ref2_3,y,mv,redox1,number,,NA,tableambient
Volt_AM8(7),volt_am87,plot,310_5cm_ref2_4,y,mv,redox1,number,,NA,tableambient
Volt_AM8(8),volt_am88,plot,310_20cm_ref2_4,y,mv,redox1,number,,NA,tableambient
Volt_AM8(9),volt_am89,plot,310_5cm_ref2_5,y,mv,redox1,number,,NA,tableambient
Volt_AM8(10),volt_am810,plot,310_20cm_ref2_5,y,mv,redox1,number,,NA,tableambient
Volt_AM8(11),volt_am811,plot,310_5cm_ref2_6,y,mv,redox1,number,,NA,tableambient
Volt_AM8(12),volt_am812,plot,310_20cm_ref2_6,y,mv,redox1,number,,NA,tableambient
Logger,logger,site,logger,n,logger,redox1,character,,NA,tableambient
Program,program,site,logger,n,program,redox1,character,,NA,tableambient
Table,table,site,logger,n,table,redox1,character,,NA,tableambient
rowid,rowid,key,logger,key,rowid,redox1,character,,NA,tableambient
time2,time2,key,logger,key,time2,redox1,number,,NA,tableambient
TIMESTAMP,timestamp,site,logger,n,timestamp,redox2,number,,NA,table1
RECORD,record,site,logger,n,record,redox2,number,,NA,table1
Statname,logger,key,logger,key,logger,redox2,character,,NA,table1
BattV,battv,site,logger,n,battv,redox2,number,,NA,table1
Volt_AM1(1),volt_am11,plot,623_5cm_ref1_1,y,mv,redox2,number,,NA,table1
Volt_AM1(2),volt_am12,plot,623_20cm_ref1_1,y,mv,redox2,number,,NA,table1
Volt_AM1(3),volt_am13,plot,623_5cm_ref1_2,y,mv,redox2,number,,NA,table1
Volt_AM1(4),volt_am14,plot,623_20cm_ref1_2,y,mv,redox2,number,,NA,table1
Volt_AM1(5),volt_am15,plot,623_5cm_ref1_3,y,mv,redox2,number,,NA,table1
Volt_AM1(6),volt_am16,plot,623_20cm_ref1_3,y,mv,redox2,number,,NA,table1
Volt_AM1(7),volt_am17,plot,623_5cm_ref1_4,y,mv,redox2,number,,NA,table1
Volt_AM1(8),volt_am18,plot,623_20cm_ref1_4,y,mv,redox2,number,,NA,table1
Volt_AM1(9),volt_am19,plot,623_5cm_ref1_5,y,mv,redox2,number,,NA,table1
Volt_AM1(10),volt_am110,plot,623_20cm_ref1_5,y,mv,redox2,number,,NA,table1
Volt_AM1(11),volt_am111,plot,623_5cm_ref1_6,y,mv,redox2,number,,NA,table1
Volt_AM1(12),volt_am112,plot,623_20cm_ref1_6,y,mv,redox2,number,,NA,table1
Volt_AM2(1),volt_am21,plot,623_5cm_ref2_1,y,mv,redox2,number,,NA,table1
Volt_AM2(2),volt_am22,plot,623_20cm_ref2_1,y,mv,redox2,number,,NA,table1
Volt_AM2(3),volt_am23,plot,623_5cm_ref2_2,y,mv,redox2,number,,NA,table1
Volt_AM2(4),volt_am24,plot,623_20cm_ref2_2,y,mv,redox2,number,,NA,table1
Volt_AM2(5),volt_am25,plot,623_5cm_ref2_3,y,mv,redox2,number,,NA,table1
Volt_AM2(6),volt_am26,plot,623_20cm_ref2_3,y,mv,redox2,number,,NA,table1
Volt_AM2(7),volt_am27,plot,623_5cm_ref2_4,y,mv,redox2,number,,NA,table1
Volt_AM2(8),volt_am28,plot,623_20cm_ref2_4,y,mv,redox2,number,,NA,table1
Volt_AM2(9),volt_am29,plot,623_5cm_ref2_5,y,mv,redox2,number,,NA,table1
Volt_AM2(10),volt_am210,plot,623_20cm_ref2_5,y,mv,redox2,number,,NA,table1
Volt_AM2(11),volt_am211,plot,623_5cm_ref2_6,y,mv,redox2,number,,NA,table1
Volt_AM2(12),volt_am212,plot,623_20cm_ref2_6,y,mv,redox2,number,,NA,table1
Volt_AM3(1),volt_am31,plot,323_5cm_ref1_1,y,mv,redox2,number,,NA,table1
Volt_AM3(2),volt_am32,plot,323_20cm_ref1_1,y,mv,redox2,number,,NA,table1
Volt_AM3(3),volt_am33,plot,323_5cm_ref1_2,y,mv,redox2,number,,NA,table1
Volt_AM3(4),volt_am34,plot,323_20cm_ref1_2,y,mv,redox2,number,,NA,table1
Volt_AM3(5),volt_am35,plot,323_5cm_ref1_3,y,mv,redox2,number,,NA,table1
Volt_AM3(6),volt_am36,plot,323_20cm_ref1_3,y,mv,redox2,number,,NA,table1
Volt_AM3(7),volt_am37,plot,323_5cm_ref1_4,y,mv,redox2,number,,NA,table1
Volt_AM3(8),volt_am38,plot,323_20cm_ref1_4,y,mv,redox2,number,,NA,table1
Volt_AM3(9),volt_am39,plot,323_5cm_ref1_5,y,mv,redox2,number,,NA,table1
Volt_AM3(10),volt_am310,plot,323_20cm_ref1_5,y,mv,redox2,number,,NA,table1
Volt_AM3(11),volt_am311,plot,323_5cm_ref1_6,y,mv,redox2,number,,NA,table1
Volt_AM3(12),volt_am312,plot,323_20cm_ref1_6,y,mv,redox2,number,,NA,table1
Volt_AM4(1),volt_am41,plot,323_5cm_ref2_1,y,mv,redox2,number,,NA,table1
Volt_AM4(2),volt_am42,plot,323_20cm_ref2_1,y,mv,redox2,number,,NA,table1
Volt_AM4(3),volt_am43,plot,323_5cm_ref2_2,y,mv,redox2,number,,NA,table1
Volt_AM4(4),volt_am44,plot,323_20cm_ref2_2,y,mv,redox2,number,,NA,table1
Volt_AM4(5),volt_am45,plot,323_5cm_ref2_3,y,mv,redox2,number,,NA,table1
Volt_AM4(6),volt_am46,plot,323_20cm_ref2_3,y,mv,redox2,number,,NA,table1
Volt_AM4(7),volt_am47,plot,323_5cm_ref2_4,y,mv,redox2,number,,NA,table1
Volt_AM4(8),volt_am48,plot,323_20cm_ref2_4,y,mv,redox2,number,,NA,table1
Volt_AM4(9),volt_am49,plot,323_5cm_ref2_5,y,mv,redox2,number,,NA,table1
Volt_AM4(10),volt_am410,plot,323_20cm_ref2_5,y,mv,redox2,number,,NA,table1
Volt_AM4(11),volt_am411,plot,323_5cm_ref2_6,y,mv,redox2,number,,NA,table1
Volt_AM4(12),volt_am412,plot,323_20cm_ref2_6,y,mv,redox2,number,,NA,table1
Logger,logger,site,logger,n,logger,redox2,character,,NA,table1
Program,program,site,logger,n,program,redox2,character,,NA,table1
Table,table,site,logger,n,table,redox2,character,,NA,table1
rowid,rowid,key,logger,key,rowid,redox2,character,,NA,table1
time2,time2,key,logger,key,time2,redox2,number,,NA,table1
TIMESTAMP,timestamp,site,logger,n,timestamp,redox2,number,,NA,tableambient
RECORD,record,site,logger,n,record,redox2,number,,NA,tableambient
Statname,logger,key,logger,key,logger,redox2,character,,NA,tableambient
BattV,battv,site,logger,n,battv,redox2,number,,NA,tableambient
Volt_AM5(1),volt_am51,plot,620_5cm_ref1_1,y,mv,redox2,number,,NA,tableambient
Volt_AM5(2),volt_am52,plot,620_20cm_ref1_1,y,mv,redox2,number,,NA,tableambient
Volt_AM5(3),volt_am53,plot,620_5cm_ref1_2,y,mv,redox2,number,,NA,tableambient
Volt_AM5(4),volt_am54,plot,620_20cm_ref1_2,y,mv,redox2,number,,NA,tableambient
Volt_AM5(5),volt_am55,plot,620_5cm_ref1_3,y,mv,redox2,number,,NA,tableambient
Volt_AM5(6),volt_am56,plot,620_20cm_ref1_3,y,mv,redox2,number,,NA,tableambient
Volt_AM5(7),volt_am57,plot,620_5cm_ref1_4,y,mv,redox2,number,,NA,tableambient
Volt_AM5(8),volt_am58,plot,620_20cm_ref1_4,y,mv,redox2,number,,NA,tableambient
Volt_AM5(9),volt_am59,plot,620_5cm_ref1_5,y,mv,redox2,number,,NA,tableambient
Volt_AM5(10),volt_am510,plot,620_20cm_ref1_5,y,mv,redox2,number,,NA,tableambient
Volt_AM5(11),volt_am511,plot,620_5cm_ref1_6,y,mv,redox2,number,,NA,tableambient
Volt_AM5(12),volt_am512,plot,620_20cm_ref1_6,y,mv,redox2,number,,NA,tableambient
Volt_AM6(1),volt_am61,plot,620_5cm_ref2_1,y,mv,redox2,number,,NA,tableambient
Volt_AM6(2),volt_am62,plot,620_20cm_ref2_1,y,mv,redox2,number,,NA,tableambient
Volt_AM6(3),volt_am63,plot,620_5cm_ref2_2,y,mv,redox2,number,,NA,tableambient
Volt_AM6(4),volt_am64,plot,620_20cm_ref2_2,y,mv,redox2,number,,NA,tableambient
Volt_AM6(5),volt_am65,plot,620_5cm_ref2_3,y,mv,redox2,number,,NA,tableambient
Volt_AM6(6),volt_am66,plot,620_20cm_ref2_3,y,mv,redox2,number,,NA,tableambient
Volt_AM6(7),volt_am67,plot,620_5cm_ref2_4,y,mv,redox2,number,,NA,tableambient
Volt_AM6(8),volt_am68,plot,620_20cm_ref2_4,y,mv,redox2,number,,NA,tableambient
Volt_AM6(9),volt_am69,plot,620_5cm_ref2_5,y,mv,redox2,number,,NA,tableambient
Volt_AM6(10),volt_am610,plot,620_20cm_ref2_5,y,mv,redox2,number,,NA,tableambient
Volt_AM6(11),volt_am611,plot,620_5cm_ref2_6,y,mv,redox2,number,,NA,tableambient
Volt_AM6(12),volt_am612,plot,620_20cm_ref2_6,y,mv,redox2,number,,NA,tableambient
Volt_AM7(1),volt_am71,plot,320_5cm_ref1_1,y,mv,redox2,number,,NA,tableambient
Volt_AM7(2),volt_am72,plot,320_20cm_ref1_1,y,mv,redox2,number,,NA,tableambient
Volt_AM7(3),volt_am73,plot,320_5cm_ref1_2,y,mv,redox2,number,,NA,tableambient
Volt_AM7(4),volt_am74,plot,320_20cm_ref1_2,y,mv,redox2,number,,NA,tableambient
Volt_AM7(5),volt_am75,plot,320_5cm_ref1_3,y,mv,redox2,number,,NA,tableambient
Volt_AM7(6),volt_am76,plot,320_20cm_ref1_3,y,mv,redox2,number,,NA,tableambient
Volt_AM7(7),volt_am77,plot,320_5cm_ref1_4,y,mv,redox2,number,,NA,tableambient
Volt_AM7(8),volt_am78,plot,320_20cm_ref1_4,y,mv,redox2,number,,NA,tableambient
Volt_AM7(9),volt_am79,plot,320_5cm_ref1_5,y,mv,redox2,number,,NA,tableambient
Volt_AM7(10),volt_am710,plot,320_20cm_ref1_5,y,mv,redox2,number,,NA,tableambient
Volt_AM7(11),volt_am711,plot,320_5cm_ref1_6,y,mv,redox2,number,,NA,tableambient
Volt_AM7(12),volt_am712,plot,320_20cm_ref1_6,y,mv,redox2,number,,NA,tableambient
Volt_AM8(1),volt_am81,plot,320_5cm_ref2_1,y,mv,redox2,number,,NA,tableambient
Volt_AM8(2),volt_am82,plot,320_20cm_ref2_1,y,mv,redox2,number,,NA,tableambient
Volt_AM8(3),volt_am83,plot,320_5cm_ref2_2,y,mv,redox2,number,,NA,tableambient
Volt_AM8(4),volt_am84,plot,320_20cm_ref2_2,y,mv,redox2,number,,NA,tableambient
Volt_AM8(5),volt_am85,plot,320_5cm_ref2_3,y,mv,redox2,number,,NA,tableambient
Volt_AM8(6),volt_am86,plot,320_20cm_ref2_3,y,mv,redox2,number,,NA,tableambient
Volt_AM8(7),volt_am87,plot,320_5cm_ref2_4,y,mv,redox2,number,,NA,tableambient
Volt_AM8(8),volt_am88,plot,320_20cm_ref2_4,y,mv,redox2,number,,NA,tableambient
Volt_AM8(9),volt_am89,plot,320_5cm_ref2_5,y,mv,redox2,number,,NA,tableambient
Volt_AM8(10),volt_am810,plot,320_20cm_ref2_5,y,mv,redox2,number,,NA,tableambient
Volt_AM8(11),volt_am811,plot,320_5cm_ref2_6,y,mv,redox2,number,,NA,tableambient
Volt_AM8(12),volt_am812,plot,320_20cm_ref2_6,y,mv,redox2,number,,NA,tableambient
Logger,logger,site,logger,n,logger,redox2,character,,NA,tableambient
Program,program,site,logger,n,program,redox2,character,,NA,tableambient
Table,table,site,logger,n,table,redox2,character,,NA,tableambient
rowid,rowid,key,logger,key,rowid,redox2,character,,NA,tableambient
time2,time2,key,logger,key,time2,redox2,number,,NA,tableambient
TIMESTAMP,timestamp,site,logger,n,timestamp,redox3,number,,NA,table1
RECORD,record,site,logger,n,record,redox3,number,,NA,table1
Statname,logger,key,logger,key,logger,redox3,character,,NA,table1
BattV,battv,site,logger,n,battv,redox3,number,,NA,table1
Volt_AM1(1),volt_am11,plot,633_5cm_ref1_1,y,mv,redox3,number,,NA,table1
Volt_AM1(2),volt_am12,plot,633_20cm_ref1_1,y,mv,redox3,number,,NA,table1
Volt_AM1(3),volt_am13,plot,633_5cm_ref1_2,y,mv,redox3,number,,NA,table1
Volt_AM1(4),volt_am14,plot,633_20cm_ref1_2,y,mv,redox3,number,,NA,table1
Volt_AM1(5),volt_am15,plot,633_5cm_ref1_3,y,mv,redox3,number,,NA,table1
Volt_AM1(6),volt_am16,plot,633_20cm_ref1_3,y,mv,redox3,number,,NA,table1
Volt_AM1(7),volt_am17,plot,633_5cm_ref1_4,y,mv,redox3,number,,NA,table1
Volt_AM1(8),volt_am18,plot,633_20cm_ref1_4,y,mv,redox3,number,,NA,table1
Volt_AM1(9),volt_am19,plot,633_5cm_ref1_5,y,mv,redox3,number,,NA,table1
Volt_AM1(10),volt_am110,plot,633_20cm_ref1_5,y,mv,redox3,number,,NA,table1
Volt_AM1(11),volt_am111,plot,633_5cm_ref1_6,y,mv,redox3,number,,NA,table1
Volt_AM1(12),volt_am112,plot,633_20cm_ref1_6,y,mv,redox3,number,,NA,table1
Volt_AM2(1),volt_am21,plot,633_5cm_ref2_1,y,mv,redox3,number,,NA,table1
Volt_AM2(2),volt_am22,plot,633_20cm_ref2_1,y,mv,redox3,number,,NA,table1
Volt_AM2(3),volt_am23,plot,633_5cm_ref2_2,y,mv,redox3,number,,NA,table1
Volt_AM2(4),volt_am24,plot,633_20cm_ref2_2,y,mv,redox3,number,,NA,table1
Volt_AM2(5),volt_am25,plot,633_5cm_ref2_3,y,mv,redox3,number,,NA,table1
Volt_AM2(6),volt_am26,plot,633_20cm_ref2_3,y,mv,redox3,number,,NA,table1
Volt_AM2(7),volt_am27,plot,633_5cm_ref2_4,y,mv,redox3,number,,NA,table1
Volt_AM2(8),volt_am28,plot,633_20cm_ref2_4,y,mv,redox3,number,,NA,table1
Volt_AM2(9),volt_am29,plot,633_5cm_ref2_5,y,mv,redox3,number,,NA,table1
Volt_AM2(10),volt_am210,plot,633_20cm_ref2_5,y,mv,redox3,number,,NA,table1
Volt_AM2(11),volt_am211,plot,633_5cm_ref2_6,y,mv,redox3,number,,NA,table1
Volt_AM2(12),volt_am212,plot,633_20cm_ref2_6,y,mv,redox3,number,,NA,table1
Volt_AM3(1),volt_am31,plot,333_5cm_ref1_1,y,mv,redox3,number,,NA,table1
Volt_AM3(2),volt_am32,plot,333_20cm_ref1_1,y,mv,redox3,number,,NA,table1
Volt_AM3(3),volt_am33,plot,333_5cm_ref1_2,y,mv,redox3,number,,NA,table1
Volt_AM3(4),volt_am34,plot,333_20cm_ref1_2,y,mv,redox3,number,,NA,table1
Volt_AM3(5),volt_am35,plot,333_5cm_ref1_3,y,mv,redox3,number,,NA,table1
Volt_AM3(6),volt_am36,plot,333_20cm_ref1_3,y,mv,redox3,number,,NA,table1
Volt_AM3(7),volt_am37,plot,333_5cm_ref1_4,y,mv,redox3,number,,NA,table1
Volt_AM3(8),volt_am38,plot,333_20cm_ref1_4,y,mv,redox3,number,,NA,table1
Volt_AM3(9),volt_am39,plot,333_5cm_ref1_5,y,mv,redox3,number,,NA,table1
Volt_AM3(10),volt_am310,plot,333_20cm_ref1_5,y,mv,redox3,number,,NA,table1
Volt_AM3(11),volt_am311,plot,333_5cm_ref1_6,y,mv,redox3,number,,NA,table1
Volt_AM3(12),volt_am312,plot,333_20cm_ref1_6,y,mv,redox3,number,,NA,table1
Volt_AM4(1),volt_am41,plot,333_5cm_ref2_1,y,mv,redox3,number,,NA,table1
Volt_AM4(2),volt_am42,plot,333_20cm_ref2_1,y,mv,redox3,number,,NA,table1
Volt_AM4(3),volt_am43,plot,333_5cm_ref2_2,y,mv,redox3,number,,NA,table1
Volt_AM4(4),volt_am44,plot,333_20cm_ref2_2,y,mv,redox3,number,,NA,table1
Volt_AM4(5),volt_am45,plot,333_5cm_ref2_3,y,mv,redox3,number,,NA,table1
Volt_AM4(6),volt_am46,plot,333_20cm_ref2_3,y,mv,redox3,number,,NA,table1
Volt_AM4(7),volt_am47,plot,333_5cm_ref2_4,y,mv,redox3,number,,NA,table1
Volt_AM4(8),volt_am48,plot,333_20cm_ref2_4,y,mv,redox3,number,,NA,table1
Volt_AM4(9),volt_am49,plot,333_5cm_ref2_5,y,mv,redox3,number,,NA,table1
Volt_AM4(10),volt_am410,plot,333_20cm_ref2_5,y,mv,redox3,number,,NA,table1
Volt_AM4(11),volt_am411,plot,333_5cm_ref2_6,y,mv,redox3,number,,NA,table1
Volt_AM4(12),volt_am412,plot,333_20cm_ref2_6,y,mv,redox3,number,,NA,table1
Logger,logger,site,logger,n,logger,redox3,character,,NA,table1
Program,program,site,logger,n,program,redox3,character,,NA,table1
Table,table,site,logger,n,table,redox3,character,,NA,table1
rowid,rowid,key,logger,key,rowid,redox3,character,,NA,table1
time2,time2,key,logger,key,time2,redox3,number,,NA,table1
TIMESTAMP,timestamp,site,logger,n,timestamp,redox3,number,,NA,tableambient
RECORD,record,site,logger,n,record,redox3,number,,NA,tableambient
Statname,logger,key,logger,key,logger,redox3,character,,NA,tableambient
BattV,battv,site,logger,n,battv,redox3,number,,NA,tableambient
Volt_AM5(1),volt_am51,plot,630_5cm_ref1_1,y,mv,redox3,number,,NA,tableambient
Volt_AM5(2),volt_am52,plot,630_20cm_ref1_1,y,mv,redox3,number,,NA,tableambient
Volt_AM5(3),volt_am53,plot,630_5cm_ref1_2,y,mv,redox3,number,,NA,tableambient
Volt_AM5(4),volt_am54,plot,630_20cm_ref1_2,y,mv,redox3,number,,NA,tableambient
Volt_AM5(5),volt_am55,plot,630_5cm_ref1_3,y,mv,redox3,number,,NA,tableambient
Volt_AM5(6),volt_am56,plot,630_20cm_ref1_3,y,mv,redox3,number,,NA,tableambient
Volt_AM5(7),volt_am57,plot,630_5cm_ref1_4,y,mv,redox3,number,,NA,tableambient
Volt_AM5(8),volt_am58,plot,630_20cm_ref1_4,y,mv,redox3,number,,NA,tableambient
