loggernet_variable,cr1000_name,design_scale_type,design_link,var_norm_split,research_name,logger,lat,long,elevation,type,units,definition,Table,lower_bound,upper_bound,rolling_clean,variability_constant
Salinity,salinity,site,logger,key,salinity,gcrew_met,NA,NA,,number,practical salinity units,salinity,gcrew_met_gcrewwaterlevel200,,,no,
Salinity,salinity,site,logger,key,salinity,genx,NA,NA,,number,practical salinity units,salinity,genx_waterlevel200,,,no,
gw_salinity,gw_salinity,site,logger,key,salinity,compass_gcw_w,NA,NA,,numeric,PSU,Groundwater salinity,compass_gcw_w,,,no,
Specific_Conductivity,specific_conductivity,site,logger,key,specific_conductivity,c3log,NA,NA,,number,microsiemens per centimeter,specific conductivity,c3log_waterlevel,,,no,
Specific_Conductivity,specific_conductivity,site,logger,key,specific_conductivity,c4log,NA,NA,,number,microsiemens per centimeter,specific conductivity,c4log_waterlevel,,,no,
Specific_Conductivity,specific_conductivity,site,logger,key,specific_conductivity,gcrew_met,NA,NA,,number,microsiemens per centimeter,specific conductivity,gcrew_met_gcrewwaterlevel200,,,no,
Specific_Conductivity,specific_conductivity,site,logger,key,specific_conductivity,genx,NA,NA,,number,microsiemens per centimeter,specific conductivity,genx_waterlevel200,,,no,
gw_spec_cond,gw_spec_cond,site,logger,key,specific_conductivity,compass_gcw_w,NA,NA,,numeric,?S/cm,Groundwater specific conductivity,compass_gcw_w,,,no,
Statname,logger,key,logger,n,logger,gcrew_met,NA,NA,,character,NA,logger name,gcrew_met_gcrewwaterlevel200,,,no,
Statname,logger,key,logger,n,logger,genx,NA,NA,,character,NA,logger name,genx_waterlevel200,,,no,
Statname,logger,key,logger,n,logger,genxhydros,NA,NA,,integer,mm,depth of sensor,waterlevelhydros,,,no,
TDS,tds,site,logger,key,tds,c3log,NA,NA,,number,parts per thousand,total dissolved solids,c3log_waterlevel,,,no,
TDS,tds,site,logger,key,tds,c4log,NA,NA,,number,parts per thousand,total dissolved solids,c4log_waterlevel,,,no,
TDS,tds,site,logger,key,tds,gcrew_met,NA,NA,,number,parts per thousand,total dissolved solids,gcrew_met_gcrewwaterlevel200,,,no,
TDS,tds,site,logger,key,tds,genx,NA,NA,,number,parts per thousand,total dissolved solids,genx_waterlevel200,,,no,
TDS,tds,site,logger,key,tds,genxhydros,NA,NA,,integer,mm,depth of sensor,waterlevelhydros,,,no,
TIMESTAMP,timestamp,site,logger,n,timestamp,c3log,NA,NA,,number,YYYY-MM-DD HH:MM:SS,loggernet timestamp,c3log_waterlevel,,,no,
TIMESTAMP,timestamp,site,logger,n,timestamp,c4log,NA,NA,,number,YYYY-MM-DD HH:MM:SS,loggernet timestamp,c4log_waterlevel,,,no,
TIMESTAMP,timestamp,site,logger,n,timestamp,gcrew_met,NA,NA,,number,YYYY-MM-DD HH:MM:SS,loggernet timestamp,gcrew_met_gcrewwaterlevel200,,,no,
TIMESTAMP,timestamp,site,logger,n,timestamp,genx,NA,NA,,number,YYYY-MM-DD HH:MM:SS,loggernet timestamp,genx_waterlevel200,,,no,
TIMESTAMP,timestamp,site,logger,n,timestamp,genxhydros,NA,NA,,integer,mm,depth of sensor,waterlevelhydros,,,no,
TIMESTAMP,timestamp,key,logger,n,timestamp,compass_gcw_w,NA,NA,,POSIXct,YYYY-MM-DD HH:MM:SS,Datalogger timestampt in EST,compass_gcw_w,,,no,
Table,table,site,logger,n,table,c3log,NA,NA,,character,NA,loggernet table name,c3log_waterlevel,,,no,
Table,table,site,logger,n,table,c4log,NA,NA,,character,NA,loggernet table name,c4log_waterlevel,,,no,
Table,table,site,logger,n,table,gcrew_met,NA,NA,,character,NA,loggernet table name,gcrew_met_gcrewwaterlevel200,,,no,
Table,table,site,logger,n,table,genx,NA,NA,,character,NA,loggernet table name,genx_waterlevel200,,,no,
Table,table,site,logger,n,table,genxhydros,NA,NA,,character,NA,loggernet table name,waterlevelhydros,,,no,
xTemp(1),temp1,site,logger,key,temp1,genx,NA,NA,,number,degrees Celsius,temperature,genx_waterlevel200,genx_waterlevel200,,,
xTemp(2),temp2,site,logger,key,temp2,genx,NA,NA,,number,degrees Celsius,temperature,genx_waterlevel200,genx_waterlevel200,,,
Temperature,temperature,site,logger,key,temperature,c3log,NA,NA,,number,degrees Celsius,temperature,c3log_waterlevel,,,no,
Temperature,temperature,site,logger,key,temperature,c4log,NA,NA,,number,degrees Celsius,temperature,c4log_waterlevel,,,no,
Temperature,temperature,site,logger,key,temperature,gcrew_met,NA,NA,,number,degrees Celsius,temperature,gcrew_met_gcrewwaterlevel200,,,no,
Temperature,temperature,site,logger,key,temperature,genx,NA,NA,,number,degrees Celsius,temperature,genx_waterlevel200,,,no,
H21_Temperature,h21_temperature,site,logger,key,temperature,genxhydros,NA,NA,,number,C,temperature,waterlevelhydros,,,no,
gw_temperature,gw_temperature,site,logger,key,temperature,compass_gcw_w,NA,NA,,numeric,degC,Groundwater temperature,compass_gcw_w,,,no,
time2,time2,key,logger,n,time2,c3log,NA,NA,,number,YYYY-MM-DD HH:MM:SS,posix time stamp (EST standard),c3log_waterlevel,,,no,
time2,time2,key,logger,n,time2,c4log,NA,NA,,number,YYYY-MM-DD HH:MM:SS,posix time stamp (EST standard),c4log_waterlevel,,,no,
time2,time2,key,logger,n,time2,gcrew_met,NA,NA,,number,YYYY-MM-DD HH:MM:SS,posix time stamp (EST standard),gcrew_met_gcrewwaterlevel200,,,no,
time2,time2,key,logger,n,time2,genx,NA,NA,,number,YYYY-MM-DD HH:MM:SS,posix time stamp (EST standard),genx_waterlevel200,,,no,
time2,time2,key,logger,n,time2,genxhydros,NA,NA,,number,YYYY-MM-DD HH:MM:SS,posix time stamp (EST standard),waterlevelhydros,,,no,
time2,time2,key,logger,n,time2,compass_gcw_w,NA,NA,,number,YYYY-MM-DD HH:MM:SS,posix time stamp (EST standard),compass_gcw_w,,,no,
Water_Density,water_density,site,logger,key,water_density,c3log,NA,NA,,number,grams per cubic centimeter,water density,c3log_waterlevel,,,no,
Water_Density,water_density,site,logger,key,water_density,c4log,NA,NA,,number,grams per cubic centimeter,water density,c4log_waterlevel,,,no,
Water_Density,water_density,site,logger,key,water_density,gcrew_met,NA,NA,,number,grams per cubic centimeter,water density,gcrew_met_gcrewwaterlevel200,,,no,
Water_Density,water_density,site,logger,key,water_density,genx,NA,NA,,number,grams per cubic centimeter,water density,genx_waterlevel200,,,no,
gw_density,gw_density,site,logger,key,water_density,compass_gcw_w,NA,NA,,numeric,g/cm3,,compass_gcw_w,,,no,
H21_Electrical_Conductivity,h21_electrical_conductivity,site,logger,key,electrical_conductivity,genxhydros,NA,NA,,integer,uS/cm,,waterlevelhydros,,,no,
Derived_Salinity,salinity,site,logger,key,salinity,genxhydros,NA,NA,,number,PSU,,waterlevelhydros,,,no,
gw_battery,gw_battery,site,logger,key,battery,compass_gcw_w,NA,NA,,numeric,%,Internal battery percentage,compass_gcw_w,,,no,
gw_perc_sat,gw_perc_sat,site,logger,key,perc_saturation,compass_gcw_w,NA,NA,,numeric,%,,compass_gcw_w,,,no,
gw_ph,gw_ph,site,logger,key,ph,compass_gcw_w,NA,NA,,numeric,NA,Groundwater pH,compass_gcw_w,,,no,
gw_ph_mv,gw_ph_mv,site,logger,key,ph_mv,compass_gcw_w,NA,NA,,numeric,mV,,compass_gcw_w,,,no,
gw_ph_orp,gw_ph_orp,site,logger,key,ph_orp,compass_gcw_w,NA,NA,,numeric,mV,Groundwater oxidation-reduction potential,compass_gcw_w,,,no,
gw_rdo_conc,gw_rdo_conc,site,logger,key,rdo_conc,compass_gcw_w,NA,NA,,numeric,mg/L,Groundwater dissolved oxygen concentration,compass_gcw_w,,,no,
gw_voltage_ext,gw_voltage_ext,site,logger,key,voltage,compass_gcw_w,NA,NA,,numeric,V,,compass_gcw_w,,,no,
