research_name,logger_name,packbusID,Table,link,loggernet_variable,cr1000_name,definition,var_type,resolution_minutes
pressure,compass,431,compass_gcw_w,logger,Pressure,pressure,water pressure,site,15
pressure,compass,431,compass_gcw_w,logger,Pressure,pressure,water pressure,site,15
pressure,compass,431,compass_gcw_w,logger,gw_pressure,gw_pressure,Vented pressure corrected for barometric pressure,site,15
program,compass,431,compass_gcw_w,logger,Program,program,program version,site,15
program,compass,431,compass_gcw_w,logger,Program,program,program version,site,15
program,compass,431,compass_gcw_w,logger,Program,program,program version,site,15
program,compass,431,compass_gcw_w,logger,Program,program,program version,site,15
program,compass,431,compass_gcw_w,logger,Program,program,program version,site,15
record,compass,431,compass_gcw_w,logger,RECORD,record,loggernet record number,site,15
record,compass,431,compass_gcw_w,logger,RECORD,record,loggernet record number,site,15
record,compass,431,compass_gcw_w,logger,RECORD,record,loggernet record number,site,15
record,compass,431,compass_gcw_w,logger,RECORD,record,loggernet record number,site,15
record,compass,431,compass_gcw_w,logger,RECORD,record,loggernet record number,site,15
record,compass,431,compass_gcw_w,logger,RECORD,record,loggernet record number,site,15
resistivity,compass,431,compass_gcw_w,logger,Resistivity,resistivity,water resistivity,site,15
resistivity,compass,431,compass_gcw_w,logger,Resistivity,resistivity,water resistivity,site,15
resistivity,compass,431,compass_gcw_w,logger,Resistivity,resistivity,water resistivity,site,15
resistivity,compass,431,compass_gcw_w,logger,Resistivity,resistivity,water resistivity,site,15
rowid,compass,431,compass_gcw_w,logger,rowid,rowid,"unique id  for each orginal data row contatenate (timestamp, block, tabletype)",key,15
rowid,compass,431,compass_gcw_w,logger,rowid,rowid,"unique id  for each orginal data row contatenate (timestamp, block, tabletype)",key,15
rowid,compass,431,compass_gcw_w,logger,rowid,rowid,"unique id  for each orginal data row contatenate (timestamp, block, tabletype)",key,15
rowid,compass,431,compass_gcw_w,logger,rowid,rowid,"unique id  for each orginal data row contatenate (timestamp, block, tabletype)",key,15
rowid,compass,431,compass_gcw_w,logger,rowid,rowid,"unique id  for each orginal data row contatenate (timestamp, block, tabletype)",key,15
logger,compass,431,compass_gcw_w,logger,STATNAME,logger,logger name,key,15
logger,compass,431,compass_gcw_w,logger,STATNAME,logger,logger name,key,15
logger,compass,431,compass_gcw_w,logger,Site,site,Site code,key,15
salinity,compass,431,compass_gcw_w,logger,Salinity,salinity,salinity,site,15
salinity,compass,431,compass_gcw_w,logger,Salinity,salinity,salinity,site,15
salinity,compass,431,compass_gcw_w,logger,Salinity,salinity,salinity,site,15
salinity,compass,431,compass_gcw_w,logger,Salinity,salinity,salinity,site,15
salinity,compass,431,compass_gcw_w,logger,gw_salinity,gw_salinity,Groundwater salinity,site,15
specific_conductivity,compass,431,compass_gcw_w,logger,Specific_Conductivity,specific_conductivity,specific conductivity,site,15
specific_conductivity,compass,431,compass_gcw_w,logger,Specific_Conductivity,specific_conductivity,specific conductivity,site,15
specific_conductivity,compass,431,compass_gcw_w,logger,Specific_Conductivity,specific_conductivity,specific conductivity,site,15
specific_conductivity,compass,431,compass_gcw_w,logger,Specific_Conductivity,specific_conductivity,specific conductivity,site,15
specific_conductivity,compass,431,compass_gcw_w,logger,gw_spec_cond,gw_spec_cond,Groundwater specific conductivity,site,15
logger,compass,431,compass_gcw_w,logger,Statname,logger,logger name,key,15
logger,compass,431,compass_gcw_w,logger,Statname,logger,logger name,key,15
logger,compass,431,compass_gcw_w,logger,Statname,logger,depth of sensor,key,15
tds,compass,431,compass_gcw_w,logger,TDS,tds,total dissolved solids,site,15
tds,compass,431,compass_gcw_w,logger,TDS,tds,total dissolved solids,site,15
tds,compass,431,compass_gcw_w,logger,TDS,tds,total dissolved solids,site,15
tds,compass,431,compass_gcw_w,logger,TDS,tds,total dissolved solids,site,15
tds,compass,431,compass_gcw_w,logger,TDS,tds,depth of sensor,site,15
timestamp,compass,431,compass_gcw_w,logger,TIMESTAMP,timestamp,loggernet timestamp,site,15
timestamp,compass,431,compass_gcw_w,logger,TIMESTAMP,timestamp,loggernet timestamp,site,15
timestamp,compass,431,compass_gcw_w,logger,TIMESTAMP,timestamp,loggernet timestamp,site,15
timestamp,compass,431,compass_gcw_w,logger,TIMESTAMP,timestamp,loggernet timestamp,site,15
timestamp,compass,431,compass_gcw_w,logger,TIMESTAMP,timestamp,depth of sensor,site,15
timestamp,compass,431,compass_gcw_w,logger,TIMESTAMP,timestamp,Datalogger timestampt in EST,key,15
table,compass,431,compass_gcw_w,logger,Table,table,loggernet table name,site,15
table,compass,431,compass_gcw_w,logger,Table,table,loggernet table name,site,15
table,compass,431,compass_gcw_w,logger,Table,table,loggernet table name,site,15
table,compass,431,compass_gcw_w,logger,Table,table,loggernet table name,site,15
table,compass,431,compass_gcw_w,logger,Table,table,loggernet table name,site,15
temp1,compass,431,compass_gcw_w,logger,Temp(1),temp1,NA,site,15
temp2,compass,431,compass_gcw_w,logger,Temp(2),temp2,NA,site,15
temperature,compass,431,compass_gcw_w,logger,Temperature,temperature,temperature,site,15
temperature,compass,431,compass_gcw_w,logger,Temperature,temperature,temperature,site,15
temperature,compass,431,compass_gcw_w,logger,Temperature,temperature,temperature,site,15
temperature,compass,431,compass_gcw_w,logger,Temperature,temperature,temperature,site,15
temperature,compass,431,compass_gcw_w,logger,H21_Temperature,h21_temperature,temperature,site,15
temperature,compass,431,compass_gcw_w,logger,gw_temperature,gw_temperature,Groundwater temperature,site,15
time2,compass,431,compass_gcw_w,logger,time2,time2,posix time stamp (EST standard),key,15
time2,compass,431,compass_gcw_w,logger,time2,time2,posix time stamp (EST standard),key,15
time2,compass,431,compass_gcw_w,logger,time2,time2,posix time stamp (EST standard),key,15
time2,compass,431,compass_gcw_w,logger,time2,time2,posix time stamp (EST standard),key,15
time2,compass,431,compass_gcw_w,logger,time2,time2,posix time stamp (EST standard),key,15
time2,compass,431,compass_gcw_w,logger,time2,time2,posix time stamp (EST standard),key,15
water_density,compass,431,compass_gcw_w,logger,Water_Density,water_density,water density,site,15
water_density,compass,431,compass_gcw_w,logger,Water_Density,water_density,water density,site,15
water_density,compass,431,compass_gcw_w,logger,Water_Density,water_density,water density,site,15
water_density,compass,431,compass_gcw_w,logger,Water_Density,water_density,water density,site,15
water_density,compass,431,compass_gcw_w,logger,gw_density,gw_density,,site,15
electrical conductivity,compass,431,compass_gcw_w,logger,H21_Electrical_Conductivity,h21_electrical_conductivity,,site,15
derived_salinity,compass,431,compass_gcw_w,logger,Derived_Salinity,derived_salinity,,site,15
battery,compass,431,compass_gcw_w,logger,gw_battery,gw_battery,Internal battery percentage,site,15
perc_saturation,compass,431,compass_gcw_w,logger,gw_perc_sat,gw_perc_sat,,site,15
ph,compass,431,compass_gcw_w,logger,gw_ph,gw_ph,Groundwater pH,site,15
ph_mv,compass,431,compass_gcw_w,logger,gw_ph_mv,gw_ph_mv,,site,15
ph_orp,compass,431,compass_gcw_w,logger,gw_ph_orp,gw_ph_orp,Groundwater oxidation-reduction potential,site,15
rdo_conc,compass,431,compass_gcw_w,logger,gw_rdo_conc,gw_rdo_conc,Groundwater dissolved oxygen concentration,site,15
voltage,compass,431,compass_gcw_w,logger,gw_voltage_ext,gw_voltage_ext,,site,15
