"Year","Community","Treatment","Chamber","TotalBelowMass_m2"
1995,"SP","C",12,-99
1995,"SP","C",15,-99
1995,"SP","E",1,-99
1995,"SP","E",4,-99
1995,"SP","E",8,-99
1995,"SP","E",10,-99
1995,"SP","E",14,-99
1996,"MX","A",2,-99
1996,"MX","A",6,-99
1996,"MX","A",9,-99
1996,"MX","A",12,-99
1996,"MX","A",15,-99
1996,"MX","C",3,-99
1996,"MX","C",5,-99
1996,"MX","C",7,-99
1996,"MX","C",10,-99
1996,"MX","C",14,-99
1996,"MX","E",1,-99
1996,"MX","E",4,-99
1996,"MX","E",8,-99
1996,"MX","E",11,-99
1996,"MX","E",13,-99
1996,"SC","A",2,-99
1996,"SC","A",4,-99
1996,"SC","A",8,-99
1996,"SC","A",12,-99
1996,"SC","A",15,-99
1996,"SC","C",3,-99
1996,"SC","C",5,-99
1996,"SC","C",7,-99
1996,"SC","C",11,-99
1996,"SC","C",13,-99
1996,"SC","E",1,-99
1996,"SC","E",6,-99
1996,"SC","E",9,-99
1996,"SC","E",10,-99
1996,"SC","E",14,-99
1996,"SP","A",2,-99
1996,"SP","A",5,-99
1996,"SP","A",9,-99
1996,"SP","A",11,-99
1996,"SP","A",13,-99
1996,"SP","C",3,-99
1996,"SP","C",6,-99
1996,"SP","C",7,-99
1996,"SP","C",12,-99
1996,"SP","C",15,-99
1996,"SP","E",1,-99
1996,"SP","E",4,-99
1996,"SP","E",8,-99
1996,"SP","E",10,-99
1996,"SP","E",14,-99
1997,"MX","A",2,217.3663145
1997,"MX","A",6,345.3825334
1997,"MX","A",9,477.5788737
1997,"MX","A",12,192.4162147
1997,"MX","A",15,249.2397404
1997,"MX","C",3,181.3127671
1997,"MX","C",5,192.8081011
1997,"MX","C",7,283.856371
1997,"MX","C",10,286.2076893
1997,"MX","C",14,51.99026032
1997,"MX","E",1,349.0401396
1997,"MX","E",4,437.9983489
1997,"MX","E",8,266.4827413
1997,"MX","E",11,140.4259544
1997,"MX","E",13,173.0831531
1997,"SC","A",2,84.7780878
1997,"SC","A",4,178.5695624
1997,"SC","A",8,344.4681318
1997,"SC","A",12,167.9886301
1997,"SC","A",15,296.3967353
1997,"SC","C",3,188.7586084
1997,"SC","C",5,117.4352865
1997,"SC","C",7,167.8580013
1997,"SC","C",11,-99
1997,"SC","C",13,91.83204272
1997,"SC","E",1,334.5403434
1997,"SC","E",6,438.3902352
1997,"SC","E",9,314.8153954
1997,"SC","E",10,222.3302087
1997,"SC","E",14,271.4466355
1997,"SP","A",2,91.70141393
1997,"SP","A",5,105.678695
1997,"SP","A",9,140.687212
1997,"SP","A",11,137.9440073
1997,"SP","A",13,142.6466439
1997,"SP","C",3,93.13833067
1997,"SP","C",6,114.1695666
1997,"SP","C",7,88.17443647
1997,"SP","C",12,105.8093238
1997,"SP","C",15,180.137108
1997,"SP","E",1,261.5188471
1997,"SP","E",4,83.86368624
1997,"SP","E",8,122.6604383
1997,"SP","E",10,201.2989727
1997,"SP","E",14,140.8178408
1998,"MX","A",2,353.7427762
1998,"MX","A",6,409.6519004
1998,"MX","A",9,258.383756
1998,"MX","A",12,338.4592072
1998,"MX","A",15,480.3220784
1998,"MX","C",3,632.5046243
1998,"MX","C",5,300.446228
1998,"MX","C",7,233.1723987
1998,"MX","C",10,117.0825887
1998,"MX","C",14,212.9249355
1998,"MX","E",1,561.8344463
1998,"MX","E",4,1009.499326
1998,"MX","E",8,552.5598019
1998,"MX","E",11,269.87909
1998,"MX","E",13,298.7741794
1998,"SC","A",2,419.1878024
1998,"SC","A",4,370.5938908
1998,"SC","A",8,183.2721991
1998,"SC","A",12,451.5837435
1998,"SC","A",15,389.2738084
1998,"SC","C",3,149.4393412
1998,"SC","C",5,179.2227064
1998,"SC","C",7,278.5005904
1998,"SC","C",11,353.7427762
1998,"SC","C",13,147.3492805
1998,"SC","E",1,248.847854
1998,"SC","E",6,271.0547491
1998,"SC","E",9,396.1971345
1998,"SC","E",10,309.4596148
1998,"SC","E",14,512.7180195
1998,"SP","A",2,226.6409589
1998,"SP","A",5,369.9407468
1998,"SP","A",9,183.925343
1998,"SP","A",11,169.4255468
1998,"SP","A",13,381.4360807
1998,"SP","C",3,182.4884263
1998,"SP","C",6,166.0291981
1998,"SP","C",7,181.3127671
1998,"SP","C",12,187.4523205
1998,"SP","C",15,206.7853821
1998,"SP","E",1,511.6729891
1998,"SP","E",4,114.6920818
1998,"SP","E",8,194.5062754
1998,"SP","E",10,140.034068
1998,"SP","E",14,122.0072943
1999,"MX","A",2,256.1630665
1999,"MX","A",6,320.8243199
1999,"MX","A",9,234.870573
1999,"MX","A",12,175.695729
1999,"MX","A",15,455.3719786
1999,"MX","C",3,251.1991723
1999,"MX","C",5,153.3582051
1999,"MX","C",7,353.7427762
1999,"MX","C",10,99.931028
1999,"MX","C",14,304.234463
1999,"MX","E",1,242.8389295
1999,"MX","E",4,337.4141769
1999,"MX","E",8,229.3841636
1999,"MX","E",11,197.2494801
1999,"MX","E",13,440.480296
1999,"SC","A",2,-99
1999,"SC","A",4,-99
1999,"SC","A",8,-99
1999,"SC","A",12,-99
1999,"SC","A",15,-99
1999,"SC","C",3,-99
1999,"SC","C",5,-99
1999,"SC","C",7,-99
1999,"SC","C",11,-99
1999,"SC","C",13,-99
1999,"SC","E",1,-99
1999,"SC","E",6,-99
1999,"SC","E",9,-99
1999,"SC","E",10,-99
1999,"SC","E",14,-99
1999,"SP","A",2,-99
1999,"SP","A",5,-99
1999,"SP","A",9,-99
1999,"SP","A",11,-99
1999,"SP","A",13,-99
1999,"SP","C",3,-99
1999,"SP","C",6,-99
1999,"SP","C",7,-99
1999,"SP","C",12,-99
1999,"SP","C",15,-99
1999,"SP","E",1,-99
1999,"SP","E",4,-99
1999,"SP","E",8,-99
1999,"SP","E",10,-99
1999,"SP","E",14,-99
2000,"MX","A",2,372.8929575
2000,"MX","A",6,354.7355551
2000,"MX","A",9,341.3461036
2000,"MX","A",12,695.8987784
2000,"MX","A",15,328.2570984
2000,"MX","C",3,240.6574286
2000,"MX","C",5,294.2282973
2000,"MX","C",7,345.7874826
2000,"MX","C",10,224.2373891
2000,"MX","C",14,247.1104911
2000,"MX","E",1,566.746089
2000,"MX","E",4,909.8295555
2000,"MX","E",8,1058.537376
2000,"MX","E",11,485.6256074
2000,"MX","E",13,293.0395753
2000,"SC","A",2,278.4875276
2000,"SC","A",4,238.6457452
2000,"SC","A",8,175.0948365
2000,"SC","A",12,394.2377026
2000,"SC","A",15,325.265699
2000,"SC","C",3,165.180111
2000,"SC","C",5,206.7200677
2000,"SC","C",7,85.43123178
2000,"SC","C",11,203.3106562
2000,"SC","C",13,97.40989226
2000,"SC","E",1,278.3960874
2000,"SC","E",6,979.794338
2000,"SC","E",9,377.4780282
2000,"SC","E",10,386.4391636
2000,"SC","E",14,293.1440783
2000,"SP","A",2,119.1987752
2000,"SP","A",5,142.9862788
2000,"SP","A",9,169.1642892
2000,"SP","A",11,119.760479
2000,"SP","A",13,68.85443772
2000,"SP","C",3,157.3815719
2000,"SP","C",6,256.3198211
2000,"SP","C",7,113.6862401
2000,"SP","C",12,170.4705772
2000,"SP","C",15,114.8096477
2000,"SP","E",1,450.6562791
2000,"SP","E",4,133.0323646
2000,"SP","E",8,167.5967437
2000,"SP","E",10,275.509191
2000,"SP","E",14,81.66912249
2001,"MX","A",2,249.500998
2001,"MX","A",6,268.4552361
2001,"MX","A",9,211.5272074
2001,"MX","A",12,205.0349563
2001,"MX","A",15,201.4557273
2001,"MX","C",3,230.2593765
2001,"MX","C",5,147.5452237
2001,"MX","C",7,321.6734071
2001,"MX","C",10,220.7887889
2001,"MX","C",14,158.5049796
2001,"MX","E",1,223.9826629
2001,"MX","E",4,271.4596984
2001,"MX","E",8,437.2929534
2001,"MX","E",11,222.9572269
2001,"MX","E",13,268.1286641
2001,"SC","A",2,175.3169055
2001,"SC","A",4,143.3781651
2001,"SC","A",8,170.1178794
2001,"SC","A",12,161.3526873
2001,"SC","A",15,274.3596576
2001,"SC","C",3,74.45841302
2001,"SC","C",5,102.5174781
2001,"SC","C",7,70.44810902
2001,"SC","C",11,143.3259136
2001,"SC","C",13,91.20502451
2001,"SC","E",1,270.3885423
2001,"SC","E",6,240.6966172
2001,"SC","E",9,276.4235926
2001,"SC","E",10,233.2769017
2001,"SC","E",14,343.4231014
2001,"SP","A",2,87.22084627
2001,"SP","A",5,98.03691047
2001,"SP","A",9,135.4881859
2001,"SP","A",11,130.8116751
2001,"SP","A",13,75.81695248
2001,"SP","C",3,132.2877805
2001,"SP","C",6,152.1433573
2001,"SP","C",7,151.8690368
2001,"SP","C",12,155.1086309
2001,"SP","C",15,100.5057947
2001,"SP","E",1,148.8776374
2001,"SP","E",4,139.2241695
2001,"SP","E",8,67.83553312
2001,"SP","E",10,108.3435224
2001,"SP","E",14,188.1315902
2002,"MX","A",2,225.5959286
2002,"MX","A",6,380.6523079
2002,"MX","A",9,307.7614405
2002,"MX","A",12,395.8052481
2002,"MX","A",15,243.4920734
2002,"MX","C",3,174.5200698
2002,"MX","C",5,79.68356481
2002,"MX","C",7,318.6036304
2002,"MX","C",10,221.6770647
2002,"MX","C",14,478.623904
2002,"MX","E",1,143.5610454
2002,"MX","E",4,255.1180362
2002,"MX","E",8,291.5634699
2002,"MX","E",11,228.0778757
2002,"MX","E",13,250.9379147
2002,"SC","A",2,76.41784494
2002,"SC","A",4,300.3155992
2002,"SC","A",8,293.1310155
2002,"SC","A",12,175.4344714
2002,"SC","A",15,271.5772643
2002,"SC","C",3,180.8555664
2002,"SC","C",5,144.7367046
2002,"SC","C",7,61.91804872
2002,"SC","C",11,160.5427888
2002,"SC","C",13,93.53021705
2002,"SC","E",1,246.1046493
2002,"SC","E",6,138.3358937
2002,"SC","E",9,108.2912709
2002,"SC","E",10,277.3249313
2002,"SC","E",14,267.0052565
2002,"SP","A",2,134.5476586
2002,"SP","A",5,81.77362552
2002,"SP","A",9,97.3184521
2002,"SP","A",11,196.4657073
2002,"SP","A",13,125.403643
2002,"SP","C",3,128.2774765
2002,"SP","C",6,93.39958826
2002,"SP","C",7,151.9212883
2002,"SP","C",12,121.4847791
2002,"SP","C",15,168.641774
2002,"SP","E",1,101.4985735
2002,"SP","E",4,117.6965441
2002,"SP","E",8,189.2811236
2002,"SP","E",10,175.042585
2002,"SP","E",14,218.4113448
2003,"MX","A",2,276.1492721
2003,"MX","A",6,254.8567786
2003,"MX","A",9,753.0750018
2003,"MX","A",12,709.706242
2003,"MX","A",15,578.9468184
2003,"MX","C",3,330.6214796
2003,"MX","C",5,393.7151874
2003,"MX","C",7,273.667325
2003,"MX","C",10,395.1521042
2003,"MX","C",14,777.763844
2003,"MX","E",1,519.7719744
2003,"MX","E",4,553.082317
2003,"MX","E",8,1425.421408
2003,"MX","E",11,619.5723736
2003,"MX","E",13,617.6129417
2003,"SC","A",2,178.0470473
2003,"SC","A",4,388.6206644
2003,"SC","A",8,279.8068784
2003,"SC","A",12,291.9553563
2003,"SC","A",15,775.9350409
2003,"SC","C",3,237.0912625
2003,"SC","C",5,147.2186517
2003,"SC","C",7,278.6312192
2003,"SC","C",11,150.876258
2003,"SC","C",13,46.63447973
2003,"SC","E",1,524.2133534
2003,"SC","E",6,524.2133534
2003,"SC","E",9,444.3991598
2003,"SC","E",10,385.3549446
2003,"SC","E",14,877.1723569
2003,"SP","A",2,153.7500914
2003,"SP","A",5,75.43812898
2003,"SP","A",9,128.6693628
2003,"SP","A",11,397.1115361
2003,"SP","A",13,169.0336604
2003,"SP","C",3,506.3172085
2003,"SP","C",6,165.6373118
2003,"SP","C",7,419.9715752
2003,"SP","C",12,97.57970969
2003,"SP","C",15,125.9261582
2003,"SP","E",1,386.2693461
2003,"SP","E",4,126.9711885
2003,"SP","E",8,237.6137777
2003,"SP","E",10,188.7586084
2003,"SP","E",14,56.69289693
2004,"MX","A",2,277.9780753
2004,"MX","A",6,494.0381018
2004,"MX","A",9,502.5289735
2004,"MX","A",12,434.732629
2004,"MX","A",15,443.615387
2004,"MX","C",3,315.9910545
2004,"MX","C",5,557.7849537
2004,"MX","C",7,408.7374988
2004,"MX","C",10,261.9107335
2004,"MX","C",14,413.1788778
2004,"MX","E",1,703.0441734
2004,"MX","E",4,475.0969266
2004,"MX","E",8,259.690044
2004,"MX","E",11,392.6701571
2004,"MX","E",13,722.8997502
2004,"SC","A",2,288.8202652
2004,"SC","A",4,376.8640729
2004,"SC","A",8,271.9691507
2004,"SC","A",12,419.1878024
2004,"SC","A",15,599.8474256
2004,"SC","C",3,139.380924
2004,"SC","C",5,89.741982
2004,"SC","C",7,274.8429842
2004,"SC","C",11,370.3326332
2004,"SC","C",13,73.67464025
2004,"SC","E",1,346.4275637
2004,"SC","E",6,879.2624176
2004,"SC","E",9,360.7967311
2004,"SC","E",10,286.3383181
2004,"SC","E",14,327.2251309
2004,"SP","A",2,142.6466439
2004,"SP","A",5,134.5476586
2004,"SP","A",9,119.3947184
2004,"SP","A",11,392.5395283
2004,"SP","A",13,149.0474548
2004,"SP","C",3,239.1813232
2004,"SP","C",6,82.03488311
2004,"SP","C",7,0
2004,"SP","C",12,149.9618564
2004,"SP","C",15,181.9659111
2004,"SP","E",1,245.9740205
2004,"SP","E",4,105.025551
2004,"SP","E",8,117.9578017
2004,"SP","E",10,159.6283872
2004,"SP","E",14,221.8076935
2005,"MX","A",2,462.0340471
2005,"MX","A",6,444.1379022
2005,"MX","A",9,444.921675
2005,"MX","A",12,735.4401145
2005,"MX","A",15,396.5890209
2005,"MX","C",3,588.3520916
2005,"MX","C",5,403.3817182
2005,"MX","C",7,373.8596106
2005,"MX","C",10,642.824299
2005,"MX","C",14,381.0441943
2005,"MX","E",1,650.0088828
2005,"MX","E",4,571.3703483
2005,"MX","E",8,555.041749
2005,"MX","E",11,823.4839222
2005,"MX","E",13,593.9691298
2005,"SC","A",2,546.1589909
2005,"SC","A",4,265.3070822
2005,"SC","A",8,309.1983572
2005,"SC","A",12,234.3480578
2005,"SC","A",15,613.6940778
2005,"SC","C",3,141.4709847
2005,"SC","C",5,239.965096
2005,"SC","C",7,327.4863885
2005,"SC","C",11,192.5468435
2005,"SC","C",13,288.8202652
2005,"SC","E",1,355.5715794
2005,"SC","E",6,494.8218746
2005,"SC","E",9,558.5687264
2005,"SC","E",10,317.6892289
2005,"SC","E",14,439.3046368
2005,"SP","A",2,140.4259544
2005,"SP","A",5,169.8174332
2005,"SP","A",9,260.0819304
2005,"SP","A",11,680.3147631
2005,"SP","A",13,162.2409631
2005,"SP","C",3,254.0730058
2005,"SP","C",6,170.0786908
2005,"SP","C",7,210.4429884
2005,"SP","C",12,182.7496839
2005,"SP","C",15,187.0604341
2005,"SP","E",1,333.3646842
2005,"SP","E",4,55.12535139
2005,"SP","E",8,182.4884263
2005,"SP","E",10,114.8227106
2005,"SP","E",14,294.5679322
2006,"MX","A",2,384.5058574
2006,"MX","A",6,244.7852985
2006,"MX","A",9,422.4012708
2006,"MX","A",12,1230.170549
2006,"MX","A",15,263.7395366
2006,"MX","C",3,427.5872339
2006,"MX","C",5,458.4417552
2006,"MX","C",7,264.2751147
2006,"MX","C",10,494.560617
2006,"MX","C",14,548.1576115
2006,"MX","E",1,456.9917756
2006,"MX","E",4,425.2228527
2006,"MX","E",8,495.0570064
2006,"MX","E",11,472.0924643
2006,"MX","E",13,434.7979434
2006,"SC","A",2,732.0437659
2006,"SC","A",4,335.5461851
2006,"SC","A",8,234.2435548
2006,"SC","A",12,408.1104806
2006,"SC","A",15,481.7328693
2006,"SC","C",3,280.8519087
2006,"SC","C",5,224.4333323
2006,"SC","C",7,307.7745033
2006,"SC","C",11,326.6242384
2006,"SC","C",13,145.1939054
2006,"SC","E",1,344.3766916
2006,"SC","E",6,410.2005413
2006,"SC","E",9,342.6915802
2006,"SC","E",10,355.4932021
2006,"SC","E",14,298.8656195
2006,"SP","A",2,153.684777
2006,"SP","A",5,202.5007576
2006,"SP","A",9,269.2520718
2006,"SP","A",11,529.3731908
2006,"SP","A",13,126.0567869
2006,"SP","C",3,235.5890314
2006,"SP","C",6,218.724854
2006,"SP","C",7,217.9018925
