Year,Community,Chamber,Treatment,Core,Corelength,RootMass,C3RhizMass,C4RhizMass,OtherRhizMass,TotalRhizMass,RootRhizMass,,
1987,SC,2,A,1,15,0.49,-99,-99,-99,0,-99,,
1987,SC,2,A,2,10,0.32,-99,-99,-99,0,-99,,
1987,SC,2,A,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,4,A,1,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,4,A,2,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,4,A,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,8,A,1,9,0.3,-99,-99,-99,0.87,-99,,
1987,SC,8,A,2,6,0.14,-99,-99,-99,0.07,-99,,
1987,SC,8,A,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,12,A,1,11,0.73,-99,-99,-99,0.26,-99,,
1987,SC,12,A,2,7,0.33,-99,-99,-99,0.28,-99,,
1987,SC,12,A,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,15,A,1,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,15,A,2,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,15,A,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,3,C,1,14,0.39,-99,-99,-99,0,-99,,
1987,SC,3,C,2,6,0.16,-99,-99,-99,0,-99,,
1987,SC,3,C,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,5,C,1,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,5,C,2,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,5,C,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,7,C,1,7,0.22,-99,-99,-99,0,-99,,
1987,SC,7,C,2,10,0.41,-99,-99,-99,0,-99,,
1987,SC,7,C,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,11,C,1,13,0.66,-99,-99,-99,0.09,-99,,
1987,SC,11,C,2,15,0.37,-99,-99,-99,0,-99,,
1987,SC,11,C,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,13,C,1,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,13,C,2,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,13,C,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,1,E,1,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,1,E,2,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,1,E,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,4,E,1,11,0.17,-99,-99,-99,0.1,-99,,
1987,SP,4,E,2,11,0.4,-99,-99,-99,0.21,-99,,
1987,SP,4,E,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,8,E,1,12,0.36,-99,-99,-99,0.25,-99,,
1987,SP,8,E,2,13,0.8,-99,-99,-99,0.57,-99,,
1987,SP,8,E,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,10,E,1,10,0.43,-99,-99,-99,0.13,-99,,
1987,SP,10,E,2,6,0.24,-99,-99,-99,0.26,-99,,
1987,SP,10,E,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,14,E,1,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,14,E,2,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,14,E,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,2,A,1,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,2,A,2,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,2,A,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,5,A,1,11,0.17,-99,-99,-99,0.1,-99,,
1987,SP,5,A,2,16,0.4,-99,-99,-99,0.21,-99,,
1987,SP,5,A,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,9,A,1,6,0.28,-99,-99,-99,0.38,-99,,
1987,SP,9,A,2,11,0.36,-99,-99,-99,0.44,-99,,
1987,SP,9,A,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,11,A,1,7,0.25,-99,-99,-99,0.44,-99,,
1987,SP,11,A,2,11,0.23,-99,-99,-99,0.27,-99,,
1987,SP,11,A,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,13,A,1,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,13,A,2,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,13,A,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,3,C,1,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,3,C,2,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,3,C,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,6,C,1,11,0.38,-99,-99,-99,0.24,-99,,
1987,SP,6,C,2,11,0.31,-99,-99,-99,0.46,-99,,
1987,SP,6,C,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,7,C,1,13,0.52,-99,-99,-99,0.52,-99,,
1987,SP,7,C,2,12,0.41,-99,-99,-99,0.23,-99,,
1987,SP,7,C,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,12,C,1,12,0.47,-99,-99,-99,0.41,-99,,
1987,SP,12,C,2,11,0.34,-99,-99,-99,0.36,-99,,
1987,SP,12,C,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,15,C,1,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,15,C,2,-99,-99,-99,-99,-99,-99,-99,,
1987,SP,15,C,3,-99,-99,-99,-99,-99,-99,-99,,
1988,MX,1,E,1,18.8,0.474,0,0.041,-99,-99,-99,,
1988,MX,1,E,2,17.5,0.442,0.154,0.163,-99,-99,-99,,
1988,MX,1,E,3,18.5,0.464,0,0.196,-99,-99,-99,,
1988,MX,4,E,1,19.8,0.5,0.189,0.181,-99,-99,-99,,
1988,MX,4,E,2,-99,-99,-99,-99,-99,-99,-99,,
1988,MX,4,E,3,-99,-99,-99,-99,-99,-99,-99,,
1988,MX,8,E,1,19,0.502,0,0.451,-99,-99,-99,,
1988,MX,8,E,2,20,0.402,0,0.29,-99,-99,-99,,
1988,MX,8,E,3,20,0.316,0,0,-99,-99,-99,,
1988,MX,11,E,1,20.1,0.277,0.899,0.28,-99,-99,-99,,
1988,MX,11,E,2,19.7,0.412,0,0.135,-99,-99,-99,,
1988,MX,11,E,3,18.8,0.231,0,0.133,-99,-99,-99,,
1988,MX,13,E,1,20,0.502,0.251,0.274,-99,-99,-99,,
1988,MX,13,E,2,-99,-99,-99,-99,-99,-99,-99,,
1988,MX,13,E,3,-99,-99,-99,-99,-99,-99,-99,,
1988,MX,2,A,1,18.2,0.345,0,0.05,-99,-99,-99,,
1988,MX,2,A,2,19.7,0.449,0,0.154,-99,-99,-99,,
1988,MX,2,A,3,17.5,0.298,0.4,0.215,-99,-99,-99,,
1988,MX,6,A,1,17.5,0.195,0,0.467,-99,-99,-99,,
1988,MX,6,A,2,-99,-99,-99,-99,-99,-99,-99,,
1988,MX,6,A,3,-99,-99,-99,-99,-99,-99,-99,,
1988,MX,9,A,1,19.5,0.33,0,0.202,-99,-99,-99,,
1988,MX,9,A,2,20,0.353,0,0.277,-99,-99,-99,,
1988,MX,9,A,3,19.5,0.364,0,0.241,-99,-99,-99,,
1988,MX,12,A,1,18.4,0.326,0,0.109,-99,-99,-99,,
1988,MX,12,A,2,19.7,0.474,0,0.258,-99,-99,-99,,
1988,MX,12,A,3,18,0.567,0,0.357,-99,-99,-99,,
1988,MX,15,A,1,19.2,0.254,0,0.2,-99,-99,-99,,
1988,MX,15,A,2,-99,-99,-99,-99,-99,-99,-99,,
1988,MX,15,A,3,-99,-99,-99,-99,-99,-99,-99,,
1988,MX,3,C,1,19,0.156,0.106,0.138,-99,-99,-99,,
1988,MX,3,C,2,18.4,0.12,0,0.198,-99,-99,-99,,
1988,MX,3,C,3,18.4,0.236,0.122,0.195,-99,-99,-99,,
1988,MX,5,C,1,18.3,0.205,0,0.193,-99,-99,-99,,
1988,MX,5,C,2,-99,-99,-99,-99,-99,-99,-99,,
1988,MX,5,C,3,-99,-99,-99,-99,-99,-99,-99,,
1988,MX,7,C,1,19,0.425,0.217,0.1,-99,-99,-99,,
1988,MX,7,C,2,20,0.556,0,0.375,-99,-99,-99,,
1988,MX,7,C,3,21,0.392,0,0.073,-99,-99,-99,,
1988,MX,10,C,1,19.8,0.29,0,0.206,-99,-99,-99,,
1988,MX,10,C,2,18,0.242,0,0.148,-99,-99,-99,,
1988,MX,10,C,3,19.5,0.254,0,0.241,-99,-99,-99,,
1988,MX,14,C,1,19.1,0.181,0,0.302,-99,-99,-99,,
1988,MX,14,C,2,-99,-99,-99,-99,-99,-99,-99,,
1988,MX,14,C,3,-99,-99,-99,-99,-99,-99,-99,,
1988,SC,1,E,1,13.5,0.584,-99,-99,-99,1.524,-99,,
1988,SC,1,E,2,18.3,0.44,-99,-99,-99,0,-99,,
1988,SC,1,E,3,18.3,0.581,-99,-99,-99,1.381,-99,,
1988,SC,6,E,1,16.7,0.646,-99,-99,-99,0.971,-99,,
1988,SC,6,E,2,-99,-99,-99,-99,-99,-99,-99,,
1988,SC,6,E,3,-99,-99,-99,-99,-99,-99,-99,,
1988,SC,9,E,1,20.1,0.84,-99,-99,-99,0.11,-99,,
1988,SC,9,E,2,19,0.46,-99,-99,-99,0,-99,,
1988,SC,9,E,3,18.7,0.56,-99,-99,-99,0.32,-99,,
1988,SC,10,E,1,19,0.53,-99,-99,-99,0,-99,,
1988,SC,10,E,2,19.5,0.48,-99,-99,-99,0.05,-99,,
1988,SC,10,E,3,18.2,0.47,-99,-99,-99,0,-99,,
1988,SC,14,E,1,19.5,0.78,-99,-99,-99,0.14,-99,,
1988,SC,14,E,2,-99,-99,-99,-99,-99,-99,-99,,
1988,SC,14,E,3,-99,-99,-99,-99,-99,-99,-99,,
1988,SC,2,A,1,18.3,0.334,-99,-99,-99,1.317,-99,,
1988,SC,2,A,2,18.9,0.202,-99,-99,-99,0.078,-99,,
1988,SC,2,A,3,17.9,0.247,-99,-99,-99,0.591,-99,,
1988,SC,4,A,1,16.2,0.351,-99,-99,-99,1.03,-99,,
1988,SC,4,A,2,-99,-99,-99,-99,-99,-99,-99,,
1988,SC,4,A,3,-99,-99,-99,-99,-99,-99,-99,,
1988,SC,8,A,1,19.6,0.26,-99,-99,-99,0.1,-99,,
1988,SC,8,A,2,18.7,0.34,-99,-99,-99,0.11,-99,,
1988,SC,8,A,3,18.7,0.28,-99,-99,-99,0.03,-99,,
1988,SC,12,A,1,20,0.48,-99,-99,-99,0,-99,,
1988,SC,12,A,2,20.5,0.41,-99,-99,-99,0.09,-99,,
1988,SC,12,A,3,19.4,0.27,-99,-99,-99,0,-99,,
1988,SC,15,A,1,18.5,0.37,-99,-99,-99,1.65,-99,,
1988,SC,15,A,2,-99,-99,-99,-99,-99,-99,-99,,
1988,SC,15,A,3,-99,-99,-99,-99,-99,-99,-99,,
1988,SC,3,C,1,19.3,0.219,-99,-99,-99,0,-99,,
1988,SC,3,C,2,18.2,0.192,-99,-99,-99,0.204,-99,,
1988,SC,3,C,3,18.2,0.145,-99,-99,-99,0,-99,,
1988,SC,5,C,1,18.7,0.32,-99,-99,-99,0.52,-99,,
1988,SC,5,C,2,-99,-99,-99,-99,-99,-99,-99,,
1988,SC,5,C,3,-99,-99,-99,-99,-99,-99,-99,,
1988,SC,7,C,1,12,0.237,-99,-99,-99,0.19,-99,,
1988,SC,7,C,2,17.5,0.272,-99,-99,-99,0,-99,,
1988,SC,7,C,3,18.5,0.29,-99,-99,-99,1.22,-99,,
1988,SC,11,C,1,18,0.22,-99,-99,-99,0,-99,,
1988,SC,11,C,2,19.3,0.27,-99,-99,-99,0.03,-99,,
1988,SC,11,C,3,19,0.4,-99,-99,-99,0.51,-99,,
1988,SC,13,C,1,18.5,0.25,-99,-99,-99,0.27,-99,,
1988,SC,13,C,2,-99,-99,-99,-99,-99,-99,-99,,
1988,SC,13,C,3,-99,-99,-99,-99,-99,-99,-99,,
1988,SP,1,E,1,12.5,0.331,-99,-99,-99,0.264,-99,,
1988,SP,1,E,2,-99,-99,-99,-99,-99,-99,-99,,
1988,SP,1,E,3,-99,-99,-99,-99,-99,-99,-99,,
1988,SP,4,E,1,20,0.355,-99,-99,-99,0.131,-99,,
1988,SP,4,E,2,19,0.173,-99,-99,-99,0.079,-99,,
1988,SP,4,E,3,19.5,0.176,-99,-99,-99,0.147,-99,,
1988,SP,8,E,1,18.6,0.343,-99,-99,-99,0.112,-99,,
1988,SP,8,E,2,18.8,0.169,-99,-99,-99,0.103,-99,,
1988,SP,8,E,3,17.5,0.23,-99,-99,-99,0.154,-99,,
1988,SP,10,E,1,19.4,0.535,-99,-99,-99,0.475,-99,,
1988,SP,10,E,2,18.2,0.369,-99,-99,-99,0.417,-99,,
1988,SP,10,E,3,19.5,0.33,-99,-99,-99,0.42,-99,,
1988,SP,14,E,1,18.7,0.274,-99,-99,-99,0.208,-99,,
1988,SP,14,E,2,-99,-99,-99,-99,-99,-99,-99,,
1988,SP,14,E,3,-99,-99,-99,-99,-99,-99,-99,,
1988,SP,2,A,1,19.5,0.317,-99,-99,-99,0.111,-99,,
1988,SP,2,A,2,-99,-99,-99,-99,-99,-99,-99,,
1988,SP,2,A,3,-99,-99,-99,-99,-99,-99,-99,,
1988,SP,5,A,1,17.5,0.12,-99,-99,-99,0.173,-99,,
1988,SP,5,A,2,17,0.116,-99,-99,-99,0.176,-99,,
1988,SP,5,A,3,18.5,0.154,-99,-99,-99,0.249,-99,,
1988,SP,9,A,1,19.5,0.238,-99,-99,-99,0.175,-99,,
1988,SP,9,A,2,18.4,0.321,-99,-99,-99,0.227,-99,,
1988,SP,9,A,3,17.3,0.241,-99,-99,-99,0.325,-99,,
1988,SP,11,A,1,18.4,0.243,-99,-99,-99,0.028,-99,,
1988,SP,11,A,2,19.8,0.367,-99,-99,-99,0.14,-99,,
1988,SP,11,A,3,19.2,0.322,-99,-99,-99,0.434,-99,,
1988,SP,13,A,1,18.5,0.304,-99,-99,-99,0.125,-99,,
1988,SP,13,A,2,-99,-99,-99,-99,-99,-99,-99,,
1988,SP,13,A,3,-99,-99,-99,-99,-99,-99,-99,,
1988,SP,3,C,1,17,0.34,-99,-99,-99,0.161,-99,,
1988,SP,3,C,2,-99,-99,-99,-99,-99,-99,-99,,
1988,SP,3,C,3,-99,-99,-99,-99,-99,-99,-99,,
1988,SP,6,C,1,19,0.441,-99,-99,-99,0.179,-99,,
1988,SP,6,C,2,18.2,0.375,-99,-99,-99,0.39,-99,,
1988,SP,6,C,3,19.3,0.162,-99,-99,-99,0.192,-99,,
1988,SP,7,C,1,19.4,0.341,-99,-99,-99,0.285,-99,,
1988,SP,7,C,2,19,0.335,-99,-99,-99,0.141,-99,,
1988,SP,7,C,3,18.4,0.231,-99,-99,-99,0.182,-99,,
1988,SP,12,C,1,20,0.442,-99,-99,-99,0.196,-99,,
1988,SP,12,C,2,16.6,0.152,-99,-99,-99,0.131,-99,,
1988,SP,12,C,3,18.5,0.24,-99,-99,-99,0.146,-99,,
1988,SP,15,C,1,20.1,0.418,-99,-99,-99,0.151,-99,,
1988,SP,15,C,2,-99,-99,-99,-99,-99,-99,-99,,
1988,SP,15,C,3,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,1,E,1,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,1,E,2,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,1,E,3,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,4,E,1,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,4,E,2,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,4,E,3,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,8,E,1,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,8,E,2,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,8,E,3,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,11,E,1,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,11,E,2,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,11,E,3,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,13,E,1,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,13,E,2,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,13,E,3,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,2,A,1,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,2,A,2,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,2,A,3,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,6,A,1,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,6,A,2,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,6,A,3,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,9,A,1,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,9,A,2,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,9,A,3,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,12,A,1,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,12,A,2,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,12,A,3,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,15,A,1,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,15,A,2,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,15,A,3,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,3,C,1,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,3,C,2,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,3,C,3,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,5,C,1,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,5,C,2,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,5,C,3,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,7,C,1,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,7,C,2,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,7,C,3,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,10,C,1,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,10,C,2,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,10,C,3,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,14,C,1,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,14,C,2,-99,-99,-99,-99,-99,-99,-99,,
1989,MX,14,C,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,1,E,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,1,E,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,1,E,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,6,E,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,6,E,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,6,E,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,9,E,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,9,E,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,9,E,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,10,E,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,10,E,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,10,E,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,14,E,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,14,E,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,14,E,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,2,A,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,2,A,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,2,A,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,4,A,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,4,A,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,4,A,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,8,A,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,8,A,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,8,A,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,12,A,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,12,A,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,12,A,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,15,A,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,15,A,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,15,A,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,3,C,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,3,C,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,3,C,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,5,C,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,5,C,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,5,C,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,7,C,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,7,C,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,7,C,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,11,C,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,11,C,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,11,C,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,13,C,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,13,C,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SC,13,C,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,1,E,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,1,E,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,1,E,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,4,E,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,4,E,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,4,E,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,8,E,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,8,E,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,8,E,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,10,E,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,10,E,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,10,E,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,14,E,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,14,E,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,14,E,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,2,A,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,2,A,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,2,A,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,5,A,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,5,A,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,5,A,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,9,A,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,9,A,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,9,A,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,11,A,1,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,11,A,2,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,11,A,3,-99,-99,-99,-99,-99,-99,-99,,
1989,SP,13,A,1,-99,-99,-99,-99,-99,-99,-99,,
