"Year","Plot","Temperature","CO2","Vegetation","SCmass_m2","SCdensity_m2"
2024,323,3,0,3,648.228704338183,493.333333333333
2024,330,0,0,3,511.355915300873,481.481481481482
2024,331,1,0,3,700.745563190471,544.444444444444
2024,332,2,0,3,713.814229071448,537.037037037037
2024,333,3,0,3,698.91626912798,514.814814814815
2024,440,0,0,4,246.403587218696,400
2024,441,1,0,4,295.43515738084,446.296296296296
2024,442,2,0,4,432.7257417462,588.888888888889
2024,443,3,0,4,387.717849807674,553.703703703704
2024,450,0,0,4,189.860697115071,331.111111111111
2024,451,1,0,4,257.787473655454,375.925925925926
2024,452,2,0,4,137.999544089007,240.740740740741
2024,453,3,0,4,159.035070408596,266.666666666667
2024,460,0,0,4,184.79438071753,281.481481481481
2024,461,1,0,4,98.9125599853176,222.222222222222
2024,462,2,0,4,123.097906779369,235.185185185185
2024,463,3,0,4,202.823599799055,307.407407407407
2024,610,0,1,3,575.771953157187,375.555555555556
2024,613,3,1,3,814.697755810863,557.777777777778
2024,620,0,1,3,778.062211651893,611.111111111111
2024,623,3,1,3,841.177440881267,546.666666666667
2024,630,0,1,3,532.245323986867,468.888888888889
2024,633,3,1,3,763.991588053311,682.222222222222
2025,310,0,0,3,542.054238935429,442.222222222222
2025,311,1,0,3,545.229627283533,388.888888888889
2025,312,2,0,3,503.915939329845,444.444444444444
2025,313,3,0,3,505.10276944477,388.888888888889
2025,320,0,0,3,477.418415831754,393.333333333333
2025,321,1,0,3,569.274581474465,435.185185185185
2025,322,2,0,3,526.120213038581,398.148148148148
2025,323,3,0,3,541.632142582775,437.037037037037
2025,330,0,0,3,526.724638550915,446.296296296296
2025,331,1,0,3,635.644939408486,505.555555555556
2025,332,2,0,3,546.789397704,433.333333333333
2025,333,3,0,3,607.241377487933,481.481481481481
2025,440,0,0,4,201.147281818804,284.444444444444
2025,441,1,0,4,257.034243886648,403.703703703704
2025,442,2,0,4,274.250501913637,420.37037037037
2025,443,3,0,4,224.808990007429,357.407407407407
2025,450,0,0,4,173.233618584693,227.777777777778
2025,451,1,0,4,153.822627529975,261.111111111111
2025,452,2,0,4,126.493689805591,275.925925925926
2025,453,3,0,4,139.029874330894,255.555555555556
2025,460,0,0,4,195.559044881464,237.037037037037
2025,461,1,0,4,189.285868179335,270.37037037037
2025,462,2,0,4,115.040123828233,198.148148148148
2025,463,3,0,4,175.238724314571,266.666666666667
2025,610,0,1,3,774.405153501244,448.888888888889
2025,613,3,1,3,806.813205396685,611.111111111111
2025,620,0,1,3,807.357898416188,583.333333333333
2025,623,3,1,3,719.057044928118,544.444444444444
2025,630,0,1,3,678.667520902216,475.555555555556
2025,633,3,1,3,703.463293487338,553.333333333333
