Year,Chamber,SCmass_m2,SPmass_m2,DImass_m2,TotalC4mass_m2,Other1mass_m2,Other2mass_m2
2025,2,451.3004111,88.8,58.4,147.2,0,0
2025,3,927.9032966,54.8,138.2,193,0,0
2025,4,450.9746424,0,0,0,0,0
2025,5,804.053964,420.4,18.8,439.2,0,0
2025,6,800.7873561,88.4,139.4,227.8,0,0
2025,7,553.259067,232,25.4,257.4,0,0
2025,8,530.8414456,665.2,36.2,701.4,0,0
2025,9,810.5567865,116.2,84.2,200.4,0,0
2025,10,456.2785653,181.6,41.2,222.8,0,0
2025,11,693.4216297,77,0,77,0,0
2025,12,600.3786914,0,313.6,313.6,0,0
2025,Ref1,455.4512882,370.4,202.8,573.2,0,0
2025,Ref2,85.64549741,880.2,42.8,923,0,0
2025,Ref3,403.2857527,649.4,2.4,651.8,0,0
2025,Ref4,646.5955941,424.2,75.6,499.8,0,0
2025,Ref5,324.631237,848.4,325,1173.4,0,0
2025,Ref6,398.2825331,238.8,46.6,285.4,0,0
2025,Ref7,435.3916991,505.4,0,505.4,0,0
2025,Ref8,487.2957529,965.2,6.4,971.6,0,0
2025,Ref9,576.7639236,850.8,206.6,1057.4,0,0
2025,Ref10,743.7233981,789,67.6,856.6,0,0
2025,Ref11,607.8590534,435.8,65.6,501.4,0,0
2025,Ref12,644.029771,574.6,6.4,581,0,0
